Product,Sales_volume(kg),Brand,Price(TL),Price(TL/Sales_volume),Quality_Score,Delivery_Time,Fav_number,Comment_Count,Store
toz şeker,1.0,Irmak,69.0,69.0,4.8,4.0,10,0.0,TRENDYOL
toz şeker,1.0,Bal Küpü,74.95,74.95,4.7,3.0,134,602.0,TRENDYOL
toz şeker,1.0,Hanzade Bitkisel,179.0,179.0,4.7,5.0,1226,945.0,TRENDYOL
toz şeker,1.0,"Dr, Gusto",99.0,99.0,5.0,2.0,5,0.0,TRENDYOL
toz şeker,1.0,Doğal Hayat,295.0,295.0,5.0,2.0,95,104.0,TRENDYOL
toz şeker,1.0,Payitaht Hurma,440.0,440.0,4.5,4.0,10,163.0,TRENDYOL
toz şeker,1.0,Organikmarketten,105.0,105.0,5.0,2.0,1450,203.0,TRENDYOL
toz şeker,6.0,Yazar,267.09,44.51,5.0,3.0,6,0.0,n11 
toz şeker,1.0,Topçuoğlu,82.9,82.9,4.7,1.0,2668,23.0,n11 
toz şeker,1.0,Balküpü,84.0,84.0,4.6,1.0,2615,125.0,n11 
toz şeker,5.0,Balküpü,325.0,65.0,4.5,1.0,1647,0.0,n11 
toz şeker,12.0,Balküpü,699.0,58.25,5.0,2.0,2446,145.27509293680296,n11 
toz şeker,3.0,Balküpü,199.0,66.33,4.7,2.0,1334,145.27509293680296,n11 
toz şeker,1.0,Hanzade Bitkisel,179.0,179.0,5.0,4.0,3649,8.0,n11 
toz şeker,12.0,Yazar,525.2,43.77,3.0,2.0,621,145.27509293680296,n11 
toz şeker,5.0,Şafak,165.0,33.0,4.0,3.0,2149,145.27509293680296,BİM
çay,3.0,Lipton,479.0,159.67,4.8,3.0,10300,1278.0,TRENDYOL
çay,1.0,Çaykur,220.0,220.0,4.8,1.0,23100,2818.0,TRENDYOL
çay,1.0,LAZiKA,419.0,419.0,5.0,2.0,0,3.0,TRENDYOL
çay,10.0,Çaykur,1800.0,180.0,4.8,4.0,12000,6048.0,TRENDYOL
çay,5.0,Çaykur,925.0,185.0,4.8,4.0,26200,7888.0,TRENDYOL
çay,1.0,Pınar Ergül,649.0,649.0,4.7,2.0,1734,34.0,TRENDYOL
çay,5.0,Çaykur,909.0,181.8,4.7,4.0,979,75.0,TRENDYOL
çay,3.0,Lipton,490.0,163.33,4.8,4.0,5979,750.0,TRENDYOL
çay,1.0,Berk,96.5,96.5,4.5,4.0,4896,145.27509293680296,BİM
çay,1.0,Çaykur,139.9,139.9,5.0,3.0,2359,145.27509293680296,BİM
çay,1.0,Lipton,119.9,119.9,5.0,1.0,3861,145.27509293680296,BİM
çay,1.0,Berk,94.9,94.9,4.9,3.0,4736,145.27509293680296,BİM
çay,1.0,Doğuş,129.9,129.9,4.9,1.0,1648,145.27509293680296,BİM
çay,1.0,Ofçay,104.9,104.9,4.9,5.0,4477,145.27509293680296,BİM
çay,0.5,Çaykur,74.9,149.8,4.9,1.0,2557,145.27509293680296,BİM
çay,1.0,Çaykur,134.9,134.9,5.0,4.0,4586,145.27509293680296,BİM
çay,1.0,Berk,94.9,94.9,4.0,1.0,3990,145.27509293680296,BİM
