"Product","Sales volume(KG/lt)","Brand","Price(TL)","Price per Liter/kg","Quality_Score","Delivery_Time","fav_number","Comment Count","Store"
"Yumurta","30","CP","124.95","4.17","5","3","0","0","GetirBüyük"
"Yumurta","30","Carrefour","109","3.63","2.4","4","5","5","Carrefour"
"Yumurta","30","Altıntaş","99.9","3.33","3","2","0","0","Migros"
"Yumurta","30","Bili Bili","179.78","5.99","2","4","0","0","PttAVM"
"Yumurta","30","Dedefarm","114.85","3.83","2.5","3","0","0","Carrefour"
"Yumurta","30","Seltav","125","4.17","4","2","0","5","Kooperatif"
"Yumurta","30","Yiltav","125","4.17","3","4","0","0","Kooperatif"
"Yumurta","30","Kumbasar","118.7","3.96","4.5","2","6","0","Carrefour"
"Yumurta","30","Freelife","103.45","3.45","4.6","5","6","45","Carrefour"
"Yumurta","30","Muubaş","131.95","4.40","2.00","2","9","0","Migros"
"Yumurta","30","Bilken","153.95","5.13","4.7","4","8","0","Migros"
"Yumurta","30","Bilken","125","4.17","4.9","2","4","0","Migros"
"Yumurta","30","Gires","125","4.17","4.5","4","1","23","Migros"
"Yumurta","30","Yiltav","79.9","2.66","4.7","2","7","0","Kooperatif"
"Yumurta","30","Carrefour","109","3.63","5","4","9","0","Carrefour"
"Yumurta","30","Kozlu","95","3.17","4.00","3","5","0","Kooperatif"
"Yumurta","30","Kumbasar","141.4","4.71","4.60","3","2","0","Carrefour"
"Yumurta","30","Freelife","103.45","3.45","5","3","10","0","Carrefour"
"Yumurta","30","Türem","125","4.17","3","2","8","0","Kooperatif"
"Yumurta","30","Kozlu","125","4.17","2","4","9","0","Kooperatif"
"Yumurta","10","Yumtat","39.75","3.98","3","2","8","0","Hakmar Express"
"Yumurta","10","Dede Farm","51.99","5.20","5","3","336","0","Carrefour"
"Yumurta","10","Pure","102.3","10.23","3","2","634","0","GetirBüyük"
"Yumurta","10","CP","75.3","7.53","4","2","18","0","GetirBüyük"
"Yumurta","10","Aybar","75","7.50","1","2","477","0","Kooperatif"
"Yumurta","10","Sade","88.45","8.85","3","4","781","0","Carrefour"
"Yumurta","10","Kumbasar","61.95","6.20","4","2","169","0","Carrefour"
"Yumurta","10","Carrefour","59.9","5.99","4","3","178","0","Carrefour"
"Yumurta","10","Bornova","66","6.60","3.8","2","792","0","Carrefour"
"Yumurta","10","Tkk","65","6.50","3","4","393","0","Kooperatif"
"Yumurta","10","Tkk","59","5.90","4","2","43","0","Kooperatif"
"Yumurta","10","Varda","62","6.20","5","3","329","0","Kooperatif"
"Yumurta","15","CP","72.5","4.83","5","2","900","0","GetirBüyük"
"Yumurta","15","Seltav","72.5","4.83","1","2","443","0","Kooperatif"
"Yumurta","15","Güres","72.5","4.83","3","2","17","0","Migros"
"Yumurta","15","Coşkun Organik","112.95","7.53","5","4","873","0","Migros"
"Yumurta","15","Ali Babanın","112.9","7.53","5","2","570","0","Carrefour"
"Yumurta","15","Bornova Çiçekliköy","96.35","6.42","4","3","715","0","Carrefour"
"Yumurta","15","Nurtav","72.5","4.83","4","2","227","0","Kooperatif"
"Yumurta","15","Herögün","72.5","4.83","2","4","240","0","Kooperatif"
"Yumurta","15","Yiltav","72.5","4.83","4","2","0","0","Kooperatif"
